out	asmid	species	strain	locustag	busco	hlen	table	genome_fa
GCA_964255005.1_public_SRR14722090_metabat2_bin.14	GCA_964255005.1_public_SRR14722090_metabat2_bin.14	Acarospora sp. Tripp_6053_NY-2858381		FCDEE62D	fungi_odb12	24	1	/bigdata/stajichlab/shared/projects/BFD/Fungi_BFD_runs/do_annotation_asco/input_clean_genomes/GCA_964255005.1_public_SRR14722090_metabat2_bin.14.fa.gz
GCA_004114255.1_ASM411425v1	GCA_004114255.1_ASM411425v1	Acaulopage tetraceros	T-All	F46AF962	fungi_odb12	24	1	/bigdata/stajichlab/shared/projects/BFD/Fungi_BFD_runs/do_annotation_asco/input_clean_genomes/GCA_004114255.1_ASM411425v1.fa.gz
GCA_910592055.1_Acaulospora_colombiana_CL356	GCA_910592055.1_Acaulospora_colombiana_CL356	Acaulospora colombiana	CL356	F7D7056F	fungi_odb12	24	1	/bigdata/stajichlab/shared/projects/BFD/Fungi_BFD_runs/do_annotation_asco/input_clean_genomes/GCA_910592055.1_Acaulospora_colombiana_CL356.fa.gz
GCA_910591835.1_Acaulospora_morrowiae_CL551	GCA_910591835.1_Acaulospora_morrowiae_CL551	Acaulospora morrowiae	CL551	FD1E6533	fungi_odb12	24	1	/bigdata/stajichlab/shared/projects/BFD/Fungi_BFD_runs/do_annotation_asco/input_clean_genomes/GCA_910591835.1_Acaulospora_morrowiae_CL551.fa.gz
GCA_014904845.1_Acema1	GCA_014904845.1_Acema1	Acephala macrosclerotiorum	EW76-UTF0540	F74D2E4C	fungi_odb12	24	1	/bigdata/stajichlab/shared/projects/BFD/Fungi_BFD_runs/do_annotation_asco/input_clean_genomes/GCA_014904845.1_Acema1.fa.gz
GCA_031001845.1_ASM3100184v1	GCA_031001845.1_ASM3100184v1	Achaetomiella virescens	148.68	FE89BD6F	fungi_odb12	24	1	/bigdata/stajichlab/shared/projects/BFD/Fungi_BFD_runs/do_annotation_asco/input_clean_genomes/GCA_031001845.1_ASM3100184v1.fa.gz
GCA_033296875.1_Achma1	GCA_033296875.1_Achma1	Achaetomium macrosporum	CBS 532.94	F0443DCA	fungi_odb12	24	1	/bigdata/stajichlab/shared/projects/BFD/Fungi_BFD_runs/do_annotation_asco/input_clean_genomes/GCA_033296875.1_Achma1.fa.gz
GCA_030579395.1_ASM3057939v1	GCA_030579395.1_ASM3057939v1	Aciculoconidium aculeatum	NRRL YB-4298	F6D375A1	fungi_odb12	24	1	/bigdata/stajichlab/shared/projects/BFD/Fungi_BFD_runs/do_annotation_asco/input_clean_genomes/GCA_030579395.1_ASM3057939v1.fa.gz
GCA_000222935.2_AciTa_1.0	GCA_000222935.2_AciTa_1.0	Aciculosporium take	MAFF-241224	F4FC39BC	fungi_odb12	24	1	/bigdata/stajichlab/shared/projects/BFD/Fungi_BFD_runs/do_annotation_asco/input_clean_genomes/GCA_000222935.2_AciTa_1.0.fa.gz
GCA_019670975.1_ASM1967097v1	GCA_019670975.1_ASM1967097v1	Acidiella bohemica	SYSU C17045	F686C401	fungi_odb12	24	1	/bigdata/stajichlab/shared/projects/BFD/Fungi_BFD_runs/do_annotation_asco/input_clean_genomes/GCA_019670975.1_ASM1967097v1.fa.gz
GCA_001592465.1_Acidomyces_richmondensis_BFW_v1.0	GCA_001592465.1_Acidomyces_richmondensis_BFW_v1.0	Acidomyces sp. richmondensis	BFW	F17C9178	fungi_odb12	24	1	/bigdata/stajichlab/shared/projects/BFD/Fungi_BFD_runs/do_annotation_asco/input_clean_genomes/GCA_001592465.1_Acidomyces_richmondensis_BFW_v1.0.fa.gz
GCA_003545705.1_ASM354570v1	GCA_003545705.1_ASM354570v1	Acidomyces sp. richmondensis	FRIK2901	F65D1F27	fungi_odb12	24	1	/bigdata/stajichlab/shared/projects/BFD/Fungi_BFD_runs/do_annotation_asco/input_clean_genomes/GCA_003545705.1_ASM354570v1.fa.gz
GCA_001572075.1_ASM157207v1	GCA_001572075.1_ASM157207v1	Acidomyces sp. richmondensis	meta	F9098BC1	fungi_odb12	24	1	/bigdata/stajichlab/shared/projects/BFD/Fungi_BFD_runs/do_annotation_asco/input_clean_genomes/GCA_001572075.1_ASM157207v1.fa.gz
GCA_054490815.1_RUAS_VINSTROM	GCA_054490815.1_RUAS_VINSTROM	Acremonium polychromum	NFCCI 6138	F3CD8118	fungi_odb12	24	1	/bigdata/stajichlab/shared/projects/BFD/Fungi_BFD_runs/do_annotation_asco/input_clean_genomes/GCA_054490815.1_RUAS_VINSTROM.fa.gz
