out	asmid	species	strain	locustag	busco	hlen	table	genome_fa
GCA_037040395.1_ASM3704039v1	GCA_037040395.1_ASM3704039v1	Aureobasidium sp. M94-06E	M94-06E	F5B0CF87	fungi_odb12	24	1	/bigdata/stajichlab/shared/projects/BFD/Fungi_BFD_runs/do_annotation_asco/input_clean_genomes/GCA_037040395.1_ASM3704039v1.fa.gz
GCA_003992365.1_ASM399236v1	GCA_003992365.1_ASM399236v1	Aureobasidium sp. P6	P6	F1FCBF29	fungi_odb12	24	1	/bigdata/stajichlab/shared/projects/BFD/Fungi_BFD_runs/do_annotation_asco/input_clean_genomes/GCA_003992365.1_ASM399236v1.fa.gz
GCA_019677095.1_ASM1967709v1	GCA_019677095.1_ASM1967709v1	Aureobasidium sp. SLJ-2021a	XJ5-1	F6DAA382	fungi_odb12	24	1	/bigdata/stajichlab/shared/projects/BFD/Fungi_BFD_runs/do_annotation_asco/input_clean_genomes/GCA_019677095.1_ASM1967709v1.fa.gz
GCA_022575945.1_ASM2257594v1	GCA_022575945.1_ASM2257594v1	Aureobasidium sp. TD-062	TD-062	F520F104	fungi_odb12	24	1	/bigdata/stajichlab/shared/projects/BFD/Fungi_BFD_runs/do_annotation_asco/input_clean_genomes/GCA_022575945.1_ASM2257594v1.fa.gz
GCA_037042735.1_ASM3704273v1	GCA_037042735.1_ASM3704273v1	Aureobasidium sp. Y128-05A	Y128-05A	FFB21448	fungi_odb12	24	1	/bigdata/stajichlab/shared/projects/BFD/Fungi_BFD_runs/do_annotation_asco/input_clean_genomes/GCA_037042735.1_ASM3704273v1.fa.gz
GCA_024244255.1_ASM2424425v1	GCA_024244255.1_ASM2424425v1	Aureobasidium subglaciale	EXF-11962	FF953837	fungi_odb12	24	1	/bigdata/stajichlab/shared/projects/BFD/Fungi_BFD_runs/do_annotation_asco/input_clean_genomes/GCA_024244255.1_ASM2424425v1.fa.gz
GCA_024244225.1_ASM2424422v1	GCA_024244225.1_ASM2424422v1	Aureobasidium subglaciale	EXF-12336	F7B3F90F	fungi_odb12	24	1	/bigdata/stajichlab/shared/projects/BFD/Fungi_BFD_runs/do_annotation_asco/input_clean_genomes/GCA_024244225.1_ASM2424422v1.fa.gz
GCA_024244315.1_ASM2424431v1	GCA_024244315.1_ASM2424431v1	Aureobasidium subglaciale	EXF-2425	FC296A0C	fungi_odb12	24	1	/bigdata/stajichlab/shared/projects/BFD/Fungi_BFD_runs/do_annotation_asco/input_clean_genomes/GCA_024244315.1_ASM2424431v1.fa.gz
GCA_024244235.1_ASM2424423v1	GCA_024244235.1_ASM2424423v1	Aureobasidium subglaciale	EXF-2427	FA262E8C	fungi_odb12	24	1	/bigdata/stajichlab/shared/projects/BFD/Fungi_BFD_runs/do_annotation_asco/input_clean_genomes/GCA_024244235.1_ASM2424423v1.fa.gz
GCA_024244305.1_ASM2424430v1	GCA_024244305.1_ASM2424430v1	Aureobasidium subglaciale	EXF-2428	F0BEEE89	fungi_odb12	24	1	/bigdata/stajichlab/shared/projects/BFD/Fungi_BFD_runs/do_annotation_asco/input_clean_genomes/GCA_024244305.1_ASM2424430v1.fa.gz
GCA_024244275.1_ASM2424427v1	GCA_024244275.1_ASM2424427v1	Aureobasidium subglaciale	EXF-2450	F7F10322	fungi_odb12	24	1	/bigdata/stajichlab/shared/projects/BFD/Fungi_BFD_runs/do_annotation_asco/input_clean_genomes/GCA_024244275.1_ASM2424427v1.fa.gz
GCF_000721755.1_Aureobasidium_pullulans_var._subglaciale_EXF-2481_v1.0	GCF_000721755.1_Aureobasidium_pullulans_var._subglaciale_EXF-2481_v1.0	Aureobasidium subglaciale	EXF-2481	F1907BFA	fungi_odb12	24	1	/bigdata/stajichlab/shared/projects/BFD/Fungi_BFD_runs/do_annotation_asco/input_clean_genomes/GCF_000721755.1_Aureobasidium_pullulans_var._subglaciale_EXF-2481_v1.0.fa.gz
GCA_024244585.1_ASM2424458v1	GCA_024244585.1_ASM2424458v1	Aureobasidium subglaciale	EXF-2491	F2DDFB6B	fungi_odb12	24	1	/bigdata/stajichlab/shared/projects/BFD/Fungi_BFD_runs/do_annotation_asco/input_clean_genomes/GCA_024244585.1_ASM2424458v1.fa.gz
GCA_024244335.1_ASM2424433v1	GCA_024244335.1_ASM2424433v1	Aureobasidium subglaciale	EXF-4632	FEF68C5D	fungi_odb12	24	1	/bigdata/stajichlab/shared/projects/BFD/Fungi_BFD_runs/do_annotation_asco/input_clean_genomes/GCA_024244335.1_ASM2424433v1.fa.gz
GCA_042608425.1_ASM4260842v1	GCA_042608425.1_ASM4260842v1	Aureobasidium tremulum	UN1	FC2B1DC9	fungi_odb12	24	1	/bigdata/stajichlab/shared/projects/BFD/Fungi_BFD_runs/do_annotation_asco/input_clean_genomes/GCA_042608425.1_ASM4260842v1.fa.gz
GCA_903853725.1_AWRI4620	GCA_903853725.1_AWRI4620	Aureobasidium uvarum		F6A203EC	fungi_odb12	24	1	/bigdata/stajichlab/shared/projects/BFD/Fungi_BFD_runs/do_annotation_asco/input_clean_genomes/GCA_903853725.1_AWRI4620.fa.gz
GCA_903819635.1_AWRI4619	GCA_903819635.1_AWRI4619	Aureobasidium vineae		FED2AB33	fungi_odb12	24	1	/bigdata/stajichlab/shared/projects/BFD/Fungi_BFD_runs/do_annotation_asco/input_clean_genomes/GCA_903819635.1_AWRI4619.fa.gz
GCA_048593495.1_ASM4859349v1	GCA_048593495.1_ASM4859349v1	Aureobasidium zeae	15JLMHKDK516	F52F4F1F	fungi_odb12	24	1	/bigdata/stajichlab/shared/projects/BFD/Fungi_BFD_runs/do_annotation_asco/input_clean_genomes/GCA_048593495.1_ASM4859349v1.fa.gz
GCA_017580825.2_ASM1758082v2	GCA_017580825.2_ASM1758082v2	Aureobasidium zeae	KZ1	FDF19DE7	fungi_odb12	24	1	/bigdata/stajichlab/shared/projects/BFD/Fungi_BFD_runs/do_annotation_asco/input_clean_genomes/GCA_017580825.2_ASM1758082v2.fa.gz
GCA_038089615.1_NY815461-Aureoboletus-auriporus	GCA_038089615.1_NY815461-Aureoboletus-auriporus	Aureoboletus auriporus	NY815461	F4AF1F6E	fungi_odb12	24	1	/bigdata/stajichlab/shared/projects/BFD/Fungi_BFD_runs/do_annotation_asco/input_clean_genomes/GCA_038089615.1_NY815461-Aureoboletus-auriporus.fa.gz
GCA_965113095.1_gfAurGent2.1	GCA_965113095.1_gfAurGent2.1	Aureoboletus gentilis		F592C7F6	fungi_odb12	24	1	/bigdata/stajichlab/shared/projects/BFD/Fungi_BFD_runs/do_annotation_asco/input_clean_genomes/GCA_965113095.1_gfAurGent2.1.fa.gz
GCA_041722815.1_BD713-Xerocomus-sp14	GCA_041722815.1_BD713-Xerocomus-sp14	Aureoboletus sp. UT-M0000056	UT-M0000056	F5B5E913	fungi_odb12	24	1	/bigdata/stajichlab/shared/projects/BFD/Fungi_BFD_runs/do_annotation_asco/input_clean_genomes/GCA_041722815.1_BD713-Xerocomus-sp14.fa.gz
GCA_002092955.1_ASM209295v1	GCA_002092955.1_ASM209295v1	Auricularia auricula-judae	B14-8	FEB939F8	fungi_odb12	24	1	/bigdata/stajichlab/shared/projects/BFD/Fungi_BFD_runs/do_annotation_asco/input_clean_genomes/GCA_002092955.1_ASM209295v1.fa.gz
GCA_030578095.1_ASM3057809v1	GCA_030578095.1_ASM3057809v1	Auricularia cornea	ACW001	FF9EEB10	fungi_odb12	24	1	/bigdata/stajichlab/shared/projects/BFD/Fungi_BFD_runs/do_annotation_asco/input_clean_genomes/GCA_030578095.1_ASM3057809v1.fa.gz
GCA_008368385.1_ASM836838v1	GCA_008368385.1_ASM836838v1	Auricularia cornea	CCMJ2827	FD5F0280	fungi_odb12	24	1	/bigdata/stajichlab/shared/projects/BFD/Fungi_BFD_runs/do_annotation_asco/input_clean_genomes/GCA_008368385.1_ASM836838v1.fa.gz
GCA_041684135.1_ASM4168413v1	GCA_041684135.1_ASM4168413v1	Auricularia cornea	Fen-A1	F41C4ABE	fungi_odb12	24	1	/bigdata/stajichlab/shared/projects/BFD/Fungi_BFD_runs/do_annotation_asco/input_clean_genomes/GCA_041684135.1_ASM4168413v1.fa.gz
GCA_002287115.1_ASM228711v1	GCA_002287115.1_ASM228711v1	Auricularia heimuer	Dai 13782	F34284C8	fungi_odb12	24	1	/bigdata/stajichlab/shared/projects/BFD/Fungi_BFD_runs/do_annotation_asco/input_clean_genomes/GCA_002287115.1_ASM228711v1.fa.gz
GCA_050574805.1_ASM5057480v1	GCA_050574805.1_ASM5057480v1	Auricularia heimuer	Hei29-D1	F8D815AE	fungi_odb12	24	1	/bigdata/stajichlab/shared/projects/BFD/Fungi_BFD_runs/do_annotation_asco/input_clean_genomes/GCA_050574805.1_ASM5057480v1.fa.gz
GCA_050574865.1_ASM5057486v1	GCA_050574865.1_ASM5057486v1	Auricularia heimuer	Hei29-D2	F76C11B9	fungi_odb12	24	1	/bigdata/stajichlab/shared/projects/BFD/Fungi_BFD_runs/do_annotation_asco/input_clean_genomes/GCA_050574865.1_ASM5057486v1.fa.gz
GCA_003316125.1_ASM331612v1	GCA_003316125.1_ASM331612v1	Auricularia polytricha	MG66	F0D3851A	fungi_odb12	24	1	/bigdata/stajichlab/shared/projects/BFD/Fungi_BFD_runs/do_annotation_asco/input_clean_genomes/GCA_003316125.1_ASM331612v1.fa.gz
GCA_037042885.1_ASM3704288v1	GCA_037042885.1_ASM3704288v1	Auricularia sp. M12	M12	FF7A8E2C	fungi_odb12	24	1	/bigdata/stajichlab/shared/projects/BFD/Fungi_BFD_runs/do_annotation_asco/input_clean_genomes/GCA_037042885.1_ASM3704288v1.fa.gz
GCA_037042915.1_ASM3704291v1	GCA_037042915.1_ASM3704291v1	Auricularia sp. M13	M13	F05F1A86	fungi_odb12	24	1	/bigdata/stajichlab/shared/projects/BFD/Fungi_BFD_runs/do_annotation_asco/input_clean_genomes/GCA_037042915.1_ASM3704291v1.fa.gz
GCF_000265015.1_Auricularia_subglabra_SS-5_V1.0	GCF_000265015.1_Auricularia_subglabra_SS-5_V1.0	Auricularia subglabra	TFB-10046 SS5	F07A0FFD	fungi_odb12	24	1	/bigdata/stajichlab/shared/projects/BFD/Fungi_BFD_runs/do_annotation_asco/input_clean_genomes/GCF_000265015.1_Auricularia_subglabra_SS-5_V1.0.fa.gz
GCA_020744175.1_Olipa1	GCA_020744175.1_Olipa1	Auriculariales sp. MPI-PUGE-AT-0066	MPI-PUGE-AT-0066	F81BBD60	fungi_odb12	24	1	/bigdata/stajichlab/shared/projects/BFD/Fungi_BFD_runs/do_annotation_asco/input_clean_genomes/GCA_020744175.1_Olipa1.fa.gz
GCA_027559495.1_ASM2755949v1	GCA_027559495.1_ASM2755949v1	Aurifilum marmelostoma	BCRC FU30571	F1B8127F	fungi_odb12	24	1	/bigdata/stajichlab/shared/projects/BFD/Fungi_BFD_runs/do_annotation_asco/input_clean_genomes/GCA_027559495.1_ASM2755949v1.fa.gz
GCA_019914985.1_ASM1991498v1	GCA_019914985.1_ASM1991498v1	Auriscalpium microsporum	AU-H-210	F5570A3E	fungi_odb12	24	1	/bigdata/stajichlab/shared/projects/BFD/Fungi_BFD_runs/do_annotation_asco/input_clean_genomes/GCA_019914985.1_ASM1991498v1.fa.gz
GCA_019915035.1_ASM1991503v1	GCA_019915035.1_ASM1991503v1	Auriscalpium orientale	AU-Y-A	F8B4970C	fungi_odb12	24	1	/bigdata/stajichlab/shared/projects/BFD/Fungi_BFD_runs/do_annotation_asco/input_clean_genomes/GCA_019915035.1_ASM1991503v1.fa.gz
GCA_019915015.1_ASM1991501v1	GCA_019915015.1_ASM1991501v1	Auriscalpium vulgare	CBS 236.39	FC8C8A77	fungi_odb12	24	1	/bigdata/stajichlab/shared/projects/BFD/Fungi_BFD_runs/do_annotation_asco/input_clean_genomes/GCA_019915015.1_ASM1991501v1.fa.gz
GCA_022160275.1_Aurvu1	GCA_022160275.1_Aurvu1	Auriscalpium vulgare	FP105234-sp	F810852B	fungi_odb12	24	1	/bigdata/stajichlab/shared/projects/BFD/Fungi_BFD_runs/do_annotation_asco/input_clean_genomes/GCA_022160275.1_Aurvu1.fa.gz
GCA_030563705.1_ASM3056370v1	GCA_030563705.1_ASM3056370v1	Australozyma bambusicola	CBS 11723	F1F42B02	fungi_odb12	24	1	/bigdata/stajichlab/shared/projects/BFD/Fungi_BFD_runs/do_annotation_asco/input_clean_genomes/GCA_030563705.1_ASM3056370v1.fa.gz
GCA_003614695.1_Metbi_SCcomb	GCA_003614695.1_Metbi_SCcomb	Australozyma monospora	Baker2002	FCE7DB2F	fungi_odb12	24	1	/bigdata/stajichlab/shared/projects/BFD/Fungi_BFD_runs/do_annotation_asco/input_clean_genomes/GCA_003614695.1_Metbi_SCcomb.fa.gz
GCA_030563825.1_ASM3056382v1	GCA_030563825.1_ASM3056382v1	Australozyma nongkhaiensis	CBS 11724	FA285070	fungi_odb12	24	1	/bigdata/stajichlab/shared/projects/BFD/Fungi_BFD_runs/do_annotation_asco/input_clean_genomes/GCA_030563825.1_ASM3056382v1.fa.gz
GCA_030582875.1_ASM3058287v1	GCA_030582875.1_ASM3058287v1	Australozyma picinguabensis	NRRL Y-27814	F2C8837E	fungi_odb12	24	1	/bigdata/stajichlab/shared/projects/BFD/Fungi_BFD_runs/do_annotation_asco/input_clean_genomes/GCA_030582875.1_ASM3058287v1.fa.gz
GCA_030568975.1_ASM3056897v1	GCA_030568975.1_ASM3056897v1	Australozyma robnettiae	CBS 8580T	F798750A	fungi_odb12	24	1	/bigdata/stajichlab/shared/projects/BFD/Fungi_BFD_runs/do_annotation_asco/input_clean_genomes/GCA_030568975.1_ASM3056897v1.fa.gz
GCA_030569455.1_ASM3056945v1	GCA_030569455.1_ASM3056945v1	Australozyma saccharicola	CBS 12575T	FCC7A733	fungi_odb12	24	1	/bigdata/stajichlab/shared/projects/BFD/Fungi_BFD_runs/do_annotation_asco/input_clean_genomes/GCA_030569455.1_ASM3056945v1.fa.gz
GCF_035610405.1_ASM3561040v1	GCF_035610405.1_ASM3561040v1	Australozyma saopauloensis	19XY460	F3CDA5AA	fungi_odb12	24	1	/bigdata/stajichlab/shared/projects/BFD/Fungi_BFD_runs/do_annotation_asco/input_clean_genomes/GCF_035610405.1_ASM3561040v1.fa.gz
GCA_030582915.1_ASM3058291v1	GCA_030582915.1_ASM3058291v1	Australozyma saopauloensis	NRRL Y-27815	FBF3481F	fungi_odb12	24	1	/bigdata/stajichlab/shared/projects/BFD/Fungi_BFD_runs/do_annotation_asco/input_clean_genomes/GCA_030582915.1_ASM3058291v1.fa.gz
GCA_030563905.1_ASM3056390v1	GCA_030563905.1_ASM3056390v1	Australozyma succicola	CBS 11726	F941E876	fungi_odb12	24	1	/bigdata/stajichlab/shared/projects/BFD/Fungi_BFD_runs/do_annotation_asco/input_clean_genomes/GCA_030563905.1_ASM3056390v1.fa.gz
GCA_030566735.1_ASM3056673v1	GCA_030566735.1_ASM3056673v1	Australozyma touchengensis	CBS 10585	F9A7CEA8	fungi_odb12	24	1	/bigdata/stajichlab/shared/projects/BFD/Fungi_BFD_runs/do_annotation_asco/input_clean_genomes/GCA_030566735.1_ASM3056673v1.fa.gz
GCA_038093715.1_DLT08-126-Austroboletus-cf-mucosus	GCA_038093715.1_DLT08-126-Austroboletus-cf-mucosus	Austroboletus cf. mucosus	TRTC157200	FC1062E2	fungi_odb12	24	1	/bigdata/stajichlab/shared/projects/BFD/Fungi_BFD_runs/do_annotation_asco/input_clean_genomes/GCA_038093715.1_DLT08-126-Austroboletus-cf-mucosus.fa.gz
GCA_038090175.1_NY2072517-Austroboletus-eburneus	GCA_038090175.1_NY2072517-Austroboletus-eburneus	Austroboletus eburneus	NY2072517	F9C7C0A5	fungi_odb12	24	1	/bigdata/stajichlab/shared/projects/BFD/Fungi_BFD_runs/do_annotation_asco/input_clean_genomes/GCA_038090175.1_NY2072517-Austroboletus-eburneus.fa.gz
GCA_038088875.1_TH9250-Austroboletus-festivus	GCA_038088875.1_TH9250-Austroboletus-festivus	Austroboletus festivus	G4425	F5668708	fungi_odb12	24	1	/bigdata/stajichlab/shared/projects/BFD/Fungi_BFD_runs/do_annotation_asco/input_clean_genomes/GCA_038088875.1_TH9250-Austroboletus-festivus.fa.gz
GCA_038091375.1_MICH11833-Porphyrellus-festivus	GCA_038091375.1_MICH11833-Porphyrellus-festivus	Austroboletus festivus	MICH11833	FD8664C9	fungi_odb12	24	1	/bigdata/stajichlab/shared/projects/BFD/Fungi_BFD_runs/do_annotation_asco/input_clean_genomes/GCA_038091375.1_MICH11833-Porphyrellus-festivus.fa.gz
GCA_038090255.1_NY2072385-Austroboletus-niveus	GCA_038090255.1_NY2072385-Austroboletus-niveus	Austroboletus niveus	NY2072385	FB17FAC8	fungi_odb12	24	1	/bigdata/stajichlab/shared/projects/BFD/Fungi_BFD_runs/do_annotation_asco/input_clean_genomes/GCA_038090255.1_NY2072385-Austroboletus-niveus.fa.gz
GCA_038090275.1_NY1491240-Austroboletus-novazelandiae	GCA_038090275.1_NY1491240-Austroboletus-novazelandiae	Austroboletus novae-zelandiae	NY1491204	FB3DC264	fungi_odb12	24	1	/bigdata/stajichlab/shared/projects/BFD/Fungi_BFD_runs/do_annotation_asco/input_clean_genomes/GCA_038090275.1_NY1491240-Austroboletus-novazelandiae.fa.gz
GCA_038093615.1_KD12250-Austroboletus-olicaceoglutinosus	GCA_038093615.1_KD12250-Austroboletus-olicaceoglutinosus	Austroboletus olivaceoglutinosus	KD12250	FAF8BA0F	fungi_odb12	24	1	/bigdata/stajichlab/shared/projects/BFD/Fungi_BFD_runs/do_annotation_asco/input_clean_genomes/GCA_038093615.1_KD12250-Austroboletus-olicaceoglutinosus.fa.gz
GCA_038089255.1_TH10071-Austroboletus-rostrupii	GCA_038089255.1_TH10071-Austroboletus-rostrupii	Austroboletus rostrupii	G4404	F082A955	fungi_odb12	24	1	/bigdata/stajichlab/shared/projects/BFD/Fungi_BFD_runs/do_annotation_asco/input_clean_genomes/GCA_038089255.1_TH10071-Austroboletus-rostrupii.fa.gz
GCA_902702905.1_Austropuccinia_psidii	GCA_902702905.1_Austropuccinia_psidii	Austropuccinia psidii		FE35DC17	fungi_odb12	24	1	/bigdata/stajichlab/shared/projects/BFD/Fungi_BFD_runs/do_annotation_asco/input_clean_genomes/GCA_902702905.1_Austropuccinia_psidii.fa.gz
GCA_003724095.1_ASM372409v1	GCA_003724095.1_ASM372409v1	Austropuccinia psidii	Apsidii_AM	F65172E6	fungi_odb12	24	1	/bigdata/stajichlab/shared/projects/BFD/Fungi_BFD_runs/do_annotation_asco/input_clean_genomes/GCA_003724095.1_ASM372409v1.fa.gz
GCA_023105745.2_Au3_v3_hapA	GCA_023105745.2_Au3_v3_hapA	Austropuccinia psidii	Au3-C622-A115012	F96F1B1B	fungi_odb12	24	1	/bigdata/stajichlab/shared/projects/BFD/Fungi_BFD_runs/do_annotation_asco/input_clean_genomes/GCA_023105745.2_Au3_v3_hapA.fa.gz
GCA_001443065.1_ASM144306v1	GCA_001443065.1_ASM144306v1	Austropuccinia psidii	Aus_3	FBD6922E	fungi_odb12	24	1	/bigdata/stajichlab/shared/projects/BFD/Fungi_BFD_runs/do_annotation_asco/input_clean_genomes/GCA_001443065.1_ASM144306v1.fa.gz
GCA_000469055.2_ASM46905v2	GCA_000469055.2_ASM46905v2	Austropuccinia psidii	MF-1	FBF9C705	fungi_odb12	24	1	/bigdata/stajichlab/shared/projects/BFD/Fungi_BFD_runs/do_annotation_asco/input_clean_genomes/GCA_000469055.2_ASM46905v2.fa.gz
GCA_030580435.1_ASM3058043v1	GCA_030580435.1_ASM3058043v1	Babjevia anomala	NRRL Y-7931	FE042A26	fungi_odb12	24	1	/bigdata/stajichlab/shared/projects/BFD/Fungi_BFD_runs/do_annotation_asco/input_clean_genomes/GCA_030580435.1_ASM3058043v1.fa.gz
GCF_001661335.1_Babin1	GCF_001661335.1_Babin1	Babjeviella inositovora	NRRL Y-12698	FC95684A	fungi_odb12	24	1	/bigdata/stajichlab/shared/projects/BFD/Fungi_BFD_runs/do_annotation_asco/input_clean_genomes/GCF_001661335.1_Babin1.fa.gz
GCA_964257385.1_private_T1894_metabat2_bin.4	GCA_964257385.1_private_T1894_metabat2_bin.4	Bachmanniomyces sp. S44760		FEBAA835	fungi_odb12	24	1	/bigdata/stajichlab/shared/projects/BFD/Fungi_BFD_runs/do_annotation_asco/input_clean_genomes/GCA_964257385.1_private_T1894_metabat2_bin.4.fa.gz
GCA_022814255.1_ASM2281425v1	GCA_022814255.1_ASM2281425v1	Bachmanniomyces sp. S44760	T1894	FDA08A41	fungi_odb12	24	1	/bigdata/stajichlab/shared/projects/BFD/Fungi_BFD_runs/do_annotation_asco/input_clean_genomes/GCA_022814255.1_ASM2281425v1.fa.gz
GCF_019456465.1_ASM1945646v1	GCF_019456465.1_ASM1945646v1	Bacidia gigantensis	McMullin 20006	F6EF348E	fungi_odb12	24	1	/bigdata/stajichlab/shared/projects/BFD/Fungi_BFD_runs/do_annotation_asco/input_clean_genomes/GCF_019456465.1_ASM1945646v1.fa.gz
GCA_032158265.1_ASM3215826v1	GCA_032158265.1_ASM3215826v1	Bacidia rubella	M-0307710	FEBEA33C	fungi_odb12	24	1	/bigdata/stajichlab/shared/projects/BFD/Fungi_BFD_runs/do_annotation_asco/input_clean_genomes/GCA_032158265.1_ASM3215826v1.fa.gz
GCA_024140275.1_ASM2414027v1	GCA_024140275.1_ASM2414027v1	Backusella australiensis	UoMAU34	F99DBA88	fungi_odb12	24	1	/bigdata/stajichlab/shared/projects/BFD/Fungi_BFD_runs/do_annotation_asco/input_clean_genomes/GCA_024140275.1_ASM2414027v1.fa.gz
GCA_024140565.1_ASM2414056v1	GCA_024140565.1_ASM2414056v1	Backusella australiensis	UoMAU90	F285C620	fungi_odb12	24	1	/bigdata/stajichlab/shared/projects/BFD/Fungi_BFD_runs/do_annotation_asco/input_clean_genomes/GCA_024140565.1_ASM2414056v1.fa.gz
GCA_025399235.1_Bacci1	GCA_025399235.1_Bacci1	Backusella circina	FSU 941	F1DA9FF3	fungi_odb12	24	1	/bigdata/stajichlab/shared/projects/BFD/Fungi_BFD_runs/do_annotation_asco/input_clean_genomes/GCA_025399235.1_Bacci1.fa.gz
GCA_024140265.1_ASM2414026v1	GCA_024140265.1_ASM2414026v1	Backusella liffmaniae	UoMAU58	F5C88401	fungi_odb12	24	1	/bigdata/stajichlab/shared/projects/BFD/Fungi_BFD_runs/do_annotation_asco/input_clean_genomes/GCA_024140265.1_ASM2414026v1.fa.gz
GCA_024140195.1_ASM2414019v1	GCA_024140195.1_ASM2414019v1	Backusella luteola	UoMAU6	F92A5FE4	fungi_odb12	24	1	/bigdata/stajichlab/shared/projects/BFD/Fungi_BFD_runs/do_annotation_asco/input_clean_genomes/GCA_024140195.1_ASM2414019v1.fa.gz
GCA_024139275.1_ASM2413927v1	GCA_024139275.1_ASM2413927v1	Backusella macrospora	UoMAU7	F48FA141	fungi_odb12	24	1	/bigdata/stajichlab/shared/projects/BFD/Fungi_BFD_runs/do_annotation_asco/input_clean_genomes/GCA_024139275.1_ASM2413927v1.fa.gz
GCA_024139405.1_ASM2413940v1	GCA_024139405.1_ASM2413940v1	Backusella mclennaniae	UoMAU11	F75422C7	fungi_odb12	24	1	/bigdata/stajichlab/shared/projects/BFD/Fungi_BFD_runs/do_annotation_asco/input_clean_genomes/GCA_024139405.1_ASM2413940v1.fa.gz
GCA_024139395.1_ASM2413939v1	GCA_024139395.1_ASM2413939v1	Backusella morwellensis	UoMAU16	F22E7D53	fungi_odb12	24	1	/bigdata/stajichlab/shared/projects/BFD/Fungi_BFD_runs/do_annotation_asco/input_clean_genomes/GCA_024139395.1_ASM2413939v1.fa.gz
GCA_024140155.1_ASM2414015v1	GCA_024140155.1_ASM2414015v1	Backusella parvicylindrica	UoMAU35	F74814D0	fungi_odb12	24	1	/bigdata/stajichlab/shared/projects/BFD/Fungi_BFD_runs/do_annotation_asco/input_clean_genomes/GCA_024140155.1_ASM2414015v1.fa.gz
GCA_024139485.1_ASM2413948v1	GCA_024139485.1_ASM2413948v1	Backusella psychrophila	UoMAU55	F77E1DD6	fungi_odb12	24	1	/bigdata/stajichlab/shared/projects/BFD/Fungi_BFD_runs/do_annotation_asco/input_clean_genomes/GCA_024139485.1_ASM2413948v1.fa.gz
GCA_024139495.1_ASM2413949v1	GCA_024139495.1_ASM2413949v1	Backusella sp. ASU-2019c	UoMAU9	F6720F41	fungi_odb12	24	1	/bigdata/stajichlab/shared/projects/BFD/Fungi_BFD_runs/do_annotation_asco/input_clean_genomes/GCA_024139495.1_ASM2413949v1.fa.gz
GCA_024139415.1_ASM2413941v1	GCA_024139415.1_ASM2413941v1	Backusella tarrabulga	UoMAU5	F49A067E	fungi_odb12	24	1	/bigdata/stajichlab/shared/projects/BFD/Fungi_BFD_runs/do_annotation_asco/input_clean_genomes/GCA_024139415.1_ASM2413941v1.fa.gz
GCA_024140245.1_ASM2414024v1	GCA_024140245.1_ASM2414024v1	Backusella tuberculispora	UoMAU80	FB2CB285	fungi_odb12	24	1	/bigdata/stajichlab/shared/projects/BFD/Fungi_BFD_runs/do_annotation_asco/input_clean_genomes/GCA_024140245.1_ASM2414024v1.fa.gz
GCA_024140375.1_ASM2414037v1	GCA_024140375.1_ASM2414037v1	Backusella westeae	UoMAU4	FAC48DEE	fungi_odb12	24	1	/bigdata/stajichlab/shared/projects/BFD/Fungi_BFD_runs/do_annotation_asco/input_clean_genomes/GCA_024140375.1_ASM2414037v1.fa.gz
GCA_964254815.1_public_SRR14722098_metabat2_bin.9	GCA_964254815.1_public_SRR14722098_metabat2_bin.9	Baeomycetales sp.		F0257D5C	fungi_odb12	24	1	/bigdata/stajichlab/shared/projects/BFD/Fungi_BFD_runs/do_annotation_asco/input_clean_genomes/GCA_964254815.1_public_SRR14722098_metabat2_bin.9.fa.gz
GCA_001179705.1_Baeospora_myosura-8	GCA_001179705.1_Baeospora_myosura-8	Baeospora myosura		F0A37E5F	fungi_odb12	24	1	/bigdata/stajichlab/shared/projects/BFD/Fungi_BFD_runs/do_annotation_asco/input_clean_genomes/GCA_001179705.1_Baeospora_myosura-8.fa.gz
GCA_000709145.1_BobtB249_1	GCA_000709145.1_BobtB249_1	Balansia obtecta	B249	F213F054	fungi_odb12	24	1	/bigdata/stajichlab/shared/projects/BFD/Fungi_BFD_runs/do_annotation_asco/input_clean_genomes/GCA_000709145.1_BobtB249_1.fa.gz
GCA_038093395.1_MICH10004-Boletus-bicolor_var._borealis	GCA_038093395.1_MICH10004-Boletus-bicolor_var._borealis	Baorangia bicolor	MICH10004	F0A7D145	fungi_odb12	24	1	/bigdata/stajichlab/shared/projects/BFD/Fungi_BFD_runs/do_annotation_asco/input_clean_genomes/GCA_038093395.1_MICH10004-Boletus-bicolor_var._borealis.fa.gz
GCA_041721955.1_SWK157-Boletus	GCA_041721955.1_SWK157-Boletus	Baorangia sp. TRTC168334	TRTC168334	F06EFDE7	fungi_odb12	24	1	/bigdata/stajichlab/shared/projects/BFD/Fungi_BFD_runs/do_annotation_asco/input_clean_genomes/GCA_041721955.1_SWK157-Boletus.fa.gz
GCA_022813145.1_ASM2281314v1	GCA_022813145.1_ASM2281314v1	Barbatosphaeria neglecta	FKII-L8-BK-P4	F348B011	fungi_odb12	24	1	/bigdata/stajichlab/shared/projects/BFD/Fungi_BFD_runs/do_annotation_asco/input_clean_genomes/GCA_022813145.1_ASM2281314v1.fa.gz
